id_direccion,calle,numero_puerta,localidad,departamento,codigo_postal,latitud,longitud,te_voip,letra_zona
"1","MAESTRA ACIAR Y MAESTRO ANEA","S/N","CAMPO AFUERA","ALBARDON","5419","-31.4223061","-68.5461207","4307748","S"
"2","BELGRANO","1850","VILLA SAN MARTIN","ALBARDON","5419","-31.4382656","-68.5219123","4307753","S"
"3","LOZANO ","S/N","EL TOPON","ALBARDON","5419","-31.4248844","-68.488803","4307798","S"
"4","GENERAL ACHA ","S/N","LA CANADA","ALBARDON","5419","-31.4441301","-68.4745589","4307763","S"
"5","LA LAJA","2523","LAS LOMITAS","ALBARDON","5419","-31.4147926","-68.4926974","4307744","S"
"6","LA LAJA","6903","LAS PIEDRITAS","ALBARDON","5419","-31.3781646","-68.4753671","4307761","S"
"7","COMANDANTE CABOT ENTRE CANAL NORTE Y FERMIN MONLA","S/N","LAS TAPIAS","ALBARDON","5419","-31.457353","-68.5649523","4307743","S"
"8","RINCON Y ESQUIU","S/N","OBISPO ZAPATA","ALBARDON","5419","-31.4434096","-68.5438821","4307760","S"
"9","LAS HERAS Y HUARPES","S/N","LAS TIERRITAS","ALBARDON","5419","-31.3679158","-68.4393488","4307764","S"
"10","RAWSON ENTRE CALLES LA PAZ Y NACIONAL","1850","VILLA SAN MARTIN","ALBARDON","5419","-31.4344873","-68.5270326","4307759","S"
"11","CALLE NACIONAL","1221","VILLA SAN MARTIN","ALBARDON","5419","-31.4288871","-68.5108114","4307755","S"
"12","ESMERALDA Y PROYECTADA","S/N","ALBARDON","ALBARDON","5419","-31.4316683","-68.4943972","4307756","S"
"13","NACIONAL","2951","VILLA SAN MIGUEL","ALBARDON","5419","-31.4277722","-68.5290596","4307765","S"
"14","SANTA ELENA ENTRE RP 87 Y ESTACIoN JUAN JUFRE","S/N","EL ALAMITO","ANGACO","5415","-31.45666","-68.3415718","4307738","S"
"15","EL BOSQUE  ENTRE CAMPODONICO Y ROSENTAL","S/N","EL BOSQUE","ANGACO","5415","-31.4436342","-68.2820492","4307740","S"
"16","OLIVERA  ENTRE BOSQUE Y PLUMERILLO","S/N","PLUMERILLO","ANGACO","5415","-31.4355558","-68.3812141","4307736","S"
"17","AGUILERA ","S/N","LA CANADA","ANGACO","5415","-31.4422725","-68.4520852","4307887","S"
"18","21 DE FEBRERO ENTRE NACIONAL Y OLIVERA","S/N","LAS TAPIAS","ANGACO","5415","-31.4070861","-68.3830715","4307733","S"
"19","PINCHAGUAL ENTRE 21 DE FEBRERO Y VELAZQUEZ","S/N","EL BOSQUE","ANGACO","5415","-31.4085043","-68.2992327","4307739","S"
"20","RUTA NACIONAL EVA PERON","S/N","PUNTA DEL MONTE","ANGACO","5415","-31.392908","-68.3957524","4307869","S"
"21","JUAN JUFRE Y SANTA MARIA DE ORO","S/N","VILLA DEL SALVADOR","ANGACO","5415","-31.4544187","-68.4032372","4307715","S"
"22","RUTA PROVINCIAL 412 KM 135","S/N","CALINGASTA","CALINGASTA","5403","-31.3342422","-69.4242236","4302365","T"
"23","RUTA Nº 412 KM. 135","S/N","ALCAPARROSA","CALINGASTA","5403","-31.3027676","-69.4128043","4307876","T"
"24","RUTA PROVINCIAL 406","S/N","ALTO CALINGASTA","CALINGASTA","5403","-31.3573047","-69.4460583","4307716","T"
"25","HIPOLITO IRIGOYEN ENTRE M. MORENO Y PTE. ROCA","145","BARREAL","CALINGASTA","5403","-31.6648931","-69.4824772","4307728","T"
"26","CALLE LAS HORNILLAS","S/N","LAS HORNILLAS","CALINGASTA","5403","-31.7051318","-69.4924557","4307729","T"
"27","SAN MARTIN ","S/N","BARREAL","CALINGASTA","5403","-31.6501187","-69.4739873","4307735","T"
"28","PRESIDENTE ROCA","2148","BARREAL","CALINGASTA","5403","-31.6226472","-69.4655044","4307799","T"
"29","RUTA NACIONAL N° 149","S/N","COLON","CALINGASTA","5403","-31.4280977","-69.4079943","4307737","T"
"30","RUTA NACIONAL N° 149","S/N","HILARIO","CALINGASTA","5403","-31.4786609","-69.4022372","4307875","T"
"31","RUTA NACIONAL N° 149","S/N","LA ISLA","CALINGASTA","5403","-31.3807857","-69.4160734","4307866","T"
"32","RUTA PROVINCIAL 412 ","S/N","PUCHUZUM","CALINGASTA","5403","-31.1374661","-69.4699205","4307871","T"
"33","PRESIDENTE ROCA","S/N","SOROCAYENSE","CALINGASTA","5403","-31.5576477","-69.4422176","4307762","T"
"34","FLORIDA ","98","TAMBERIAS","CALINGASTA","5403","-31.4770917","-69.4243913","4307745","T"
"35","SARMIENTO","41","TAMBERIAS","CALINGASTA","5403","-31.4573854","-69.4218456","4307731","T"
"36","RUTA PROVINCIAL N° 412 ","S/N","VILLA CORRAL","CALINGASTA","5403","-31.2518835","-69.4459786","4307870","T"
"37","RUTA PROVINCIAL N° 412 ","S/N","VILLA NUEVA","CALINGASTA","5403","-31.0546019","-69.4937773","4307872","T"
"38","GENERAL PAZ","1049","VILLA DEL CARRIL","CAPITAL","5400","-31.5427748","-68.5409464","4307543","A"
"39","AV. ALEM ","650","CAPITAL","CAPITAL","5400","-31.5279936","-68.5339959","4307532","A"
"40","SANTA FE ENTRE TUCUMAN Y AV.RIOJA","252","CAPITAL","CAPITAL","5400","-31.538747","-68.5220713","4302167, 4307581, 4307701","B"
"41","ALBERDI","175","CONCEPCION","CAPITAL","5400","-31.5260136","-68.5241868","4307845","B"
"42","AV. ESPANA","1420","TRINIDAD","CAPITAL","5400","-31.5524823","-68.5327831","4307547","C"
"43","AV. LIBERTADOR SAN MARTIN","381","CAPITAL","CAPITAL","5400","-31.5343871","-68.5312527","4307549","C"
"44","ESTADOS UNIDOS","500","CAPITAL","CAPITAL","5400","-31.5406931","-68.5113321","4302283","P"
"45","AV. L. N. ALEM","31","CAPITAL","CAPITAL","5400","-31.5352019","-68.5321763","4307577","B"
"46","SAN LUIS","626","CAPITAL","CAPITAL","5400","-31.5322303","-68.5172446","4307512","A"
"47","AV. IGNACIO DE LA ROSA","325","CAPITAL","CAPITAL","5400","-31.5322303","-68.5172446","4307566","B"
"48","GENERAL ACHA","426","CAPITAL","CAPITAL","5400","-31.5239609","-68.52394406","4302183","C"
"49","PARAGUAY","899","CONCEPCION","CAPITAL","5400","-31.5393812","-68.5150785","4307576","C"
"50","BELGRANO ENTRE AV. RIOJA Y TUCUMAN","250","CAPITAL","CAPITAL","5400","-31.5447321","-68.5215259","4302240, 4307572, 437669","A"
"51","RIVADAVIA","330","CAPITAL","CAPITAL","5400","-31.5371185","-68.5304721","4307563","A"
"52","LAS HERAS","520","CAPITAL","CAPITAL","5400","-31.5416321","-68.5376248","4307568","A"
"53","SALVADOR MARIA DEL CARRIL Y CIRCUNVALACION","S/N","CONCEPCION","CAPITAL","5400","-31.5199245","-68.5338872","4307534","C"
"54","AV. RAWSON","420","CAPITAL","CAPITAL","5400","-31.5395567","-68.5130146","4307503","C"
"55","MARIANO MORENO Y R. BACA","S/N","TRINIDAD","CAPITAL","5400","-31.5455385","-68.5115291","4307567","B"
"56","AV. LIB. S. MARTIN ENTRE SARMIENTO Y ENTRE RIOS","158","CAPITAL","CAPITAL","5400","-31.5345378","-68.5282193","4307528","C"
"57","GUEMES","146","CAPITAL","CAPITAL","5400","-31.5317834","-68.5164894","4307536","C"
"58","25 DE MAYO","1057","CAPITAL","CAPITAL","5400","-31.530211","-68.5418708","4307533","C"
"59","VIRGEN DE LOURDES","1530","B° S.M.A.T.A.","CAPITAL","5400","-31.5146101","-68.554718","4307115","A"
"60","DR. AGUSTO ECHEGARAY ","2364","DESAMPARADOS","CAPITAL","5400","-31.5270388","-68.5646721","4307542","C"
"61","TUCUMAN","1633","CAPITAL","CAPITAL","5400","-31.5143617","-68.5240459","4307602","C"
"62","MARY O´GRAHAM","71","B° CABOT","CAPITAL","5400","-31.5113486","-68.529373","4302122","C"
"63","LAPRIDA","1599","DESAMPARADOS","CAPITAL","5400","-31.5346496","-68.54959967","4307518","C"
"64","SALTA","1279","CONCEPCION","CAPITAL","5400","-31.5195209","-68.536742","4307535","C"
"65","SAN LORENZO","281","CONCEPCION","CAPITAL","5400","-31.5184438","-68.5244521","4307524","C"
"66","SATURNINO SALAS","1285","CONCEPCION","CAPITAL","5400","-31.5175771","-68.5148545","4302450","C"
"67","DEL BONO","348","CAPITAL","CAPITAL","5400","-31.5331979","-68.5577268","4307552","A"
"68","PAULA A. DE SARMIENTO","196","DESAMPARADOS","CAPITAL","5400","-31.5274887","-68.5549988","4307817","A"
"69","SARGENTO CABRAL","1734","DESAMPARADOS","CAPITAL","5400","-31.5201305","-68.5555699","4307536","C"
"70","GENERAL ACHA","1836","TRINIDAD","CAPITAL","5400","-31.5584351","-68.5219086","7302250","C"
"71","AGUSTIN GOMEZ","163","TRINIDAD","CAPITAL","5400","-31.5529041","-68.5218881","4307506","C"
"72","PATRICIAS SANJUANINAS","1126","TRINIDAD","CAPITAL","5400","-31.5469659","-68.5125489","4307538","C"
"73","ABRAHAM TAPIA Y CIRCUNVALACION","S/N","TRINIDAD","CAPITAL","5400","-31.5543494","-68.5194407","4307526","C"
"74","BENJAMIN AGUILAR","255","TRINIDAD","CAPITAL","5400","-31.5473463","-68.5279463","4307529","C"
"75","SATURNINO SARASSA","1425","CAPITAL","CAPITAL","5400","-31.5517277","-68.5415162","4272388","B"
"76","URQUIZA ","182","CAUCETE","CAUCETE","5442","-31.6534866","-68.2820104","4307893","F"
"77","9 DE JULIO","964","CAUCETE","CAUCETE","5442","-31.65427","-68.273848","4302146","F"
"78","CORONEL CABOT Y J. J. BUSTO","S/N","CAUCETE","CAUCETE","5442","-31.4765609","-67.3031857","4307998","F"
"79","IVISORIA  ENTRE CALLE 20 Y RUTA PROV. 270 ","S/N","CAUCETE","CAUCETE","5442","-31.7038054","-68.2942406","4307946","F"
"80","BERMEJO ","S/N","LAGUNA SECA BERMEJO","CAUCETE","5442","-31.589197","-67.6604747","4302156","F"
"81","6 DE AGOSTO Y CHACO ","S/N","CAUCETE","CAUCETE","5442","-31.645411","-68.2899949","4307897","F"
"82","JUAN JOSE BUSTOS","904","CAUCETE","CAUCETE","5442","-31.6579699","-682748978","4302509","F"
"83","BUENOS AIRES","S/N","EL RINCON","CAUCETE","5442","-31.6695987","-68.31862","4307895","F"
"84","RUTA 141 KM. 62 ","S/N","LA PLANTA","CAUCETE","5442","-31.4765667","-67.3031057","4302139","F"
"85","ENFERMERA MEDINA - LAS TALAS","S/N","LA PUNTILLA","CAUCETE","5442","-31.6016216","-68.2903107","4307970","F"
"86","JUAN LAVALLE ","S/N","LA PUNTILLA","CAUCETE","5442","-31.5925854","-68.3046788","4307971","F"
"87","BARTOLOME MITRE ","S/N","LAS CHACRAS","CAUCETE","5442","-31.2796841","-67.5276484","No registrado","F"
"88","LAS LIEBRES ","S/N","LAS LIEBRES","CAUCETE","5442","-31.8886557","-66.8930197","No registrado","F"
"89","JUAN JOSE BUSTOS ","S/N","LOS MEDANOS","CAUCETE","5442","-31.6279078","-68.2683528","4302185","F"
"90","PATRICIAS SANJUANINAS ","S/N","LOS MEDANOS","CAUCETE","5442","-31.6409971","-68.2365632","4307894","F"
"91","COLON Y RUTA N° 270","S/N","LOTES DE ALVAREZ","CAUCETE","5442","-31.6677855","-68.2925554","4307891","F"
"92","PASO DE LOS ANDES ","S/N","MARAYES","CAUCETE","5442","-31.4611018","-67.3522416","4302150","F"
"93","SAN LORENZO","S/N","PIE DE PALO","CAUCETE","5442","-31.6633866","-68.2209733","4307890","F"
"94","COLON ","S/N","POZO DE LOS ALGARROBOS","CAUCETE","5442","-31.6786902","-68.2311153","4302215","F"
"95","PASO DE LOS ANDES ","S/N","POZO DE LOS ALGARROBOS","CAUCETE","5442","-31.6920233","-68.2219392","4307979","F"
"96","RUTA 141 KM. 62 ","S/N","VALLECITO - PARAJE DIFUNTA CORREA","CAUCETE","5442","-31.7366426","-67.9840852","4302149","F"
