id_edificio,cui,id_direccion
"1","7000001","1"
"2","7000003","2"
"3","7000006","3"
"4","7000007","4"
"5","7000009","5"
"6","7000010","6"
"7","7000011","7"
"8","7000012","8"
"9","7000013","9"
"10","7000014","10"
"11","7000015","11"
"12","7000016","12"
"13","7000017","13"
"14","7000019","14"
"15","7000020","15"
"16","7000021","16"
"17","7000022","17"
"18","7000024","18"
"19","7000026","19"
"20","7000027","20"
"21","7000029","21"
"22","7000031","22"
"23","7000032","23"
"24","7000033","24"
"25","7000034","25"
"26","7000035","26"
"27","7000036","27"
"28","7000037","28"
"29","7000041","29"
"30","7000042","30"
"31","7000043","31"
"32","7000044","32"
"33","7000045","33"
"34","7000046","34"
"35","7000047","35"
"36","7000049","36"
"37","7000050","37"
"38","7000052","38"
"39","7000053","39"
"40","7000054","40"
"41","7000055","41"
"42","7000056","42"
"43","7000057","43"
"44","7000058","44"
"45","7000059","45"
"46","7000060","46"
"47","7000061","47"
"48","7000062","48"
"49","7000063","49"
"50","7000064","50"
"51","7000065","51"
"52","7000066","52"
"53","7000086","53"
"54","7000088","54"
"55","7000089","55"
"56","7000090","56"
"57","7000091","57"
"58","7000093","58"
"59","7000094","59"
"60","7000095","60"
"61","7000097","61"
"62","7000098","62"
"63","7000101","63"
"64","7000102","64"
"65","7000106","65"
"66","7000107","66"
"67","7000109","67"
"68","7000110","68"
"69","7000113","69"
"70","7000114","70"
"71","7000115","71"
"72","7000116","72"
"73","7000117","73"
"74","7000118","74"
"75","7000119","75"
"76","7000125","76"
"77","7000126","77"
"78","7000128","78"
"79","7000129","79"
"80","7000133","80"
"81","7000134","81"
"82","7000135","82"
"83","7000136","83"
"84","7000137","84"
"85","7000138","85"
"86","7000139","86"
"87","7000141","87"
"88","7000142","88"
"89","7000143","89"
"90","7000144","90"
"91","7000145","91"
"92","7000146","92"
"93","7000147","93"
"94","7000148","94"
"95","7000150","95"
"96","7000151","96"
"97","7000152","97"
"98","7000153","98"
"99","7000155","99"
"100","7000156","100"
"101","7000157","101"
"102","7000158","102"
"103","7000159","103"
"104","7000160","104"
"105","7000161","105"
"106","7000162","106"
"107","7000163","107"
"108","7000165","108"
"109","7000166","109"
"110","7000168","110"
"111","7000170","111"
"112","7000171","112"
"113","7000172","113"
"114","7000174","114"
"115","7000175","115"
"116","7000177","116"
"117","7000178","117"
"118","7000180","118"
"119","7000181","119"
"120","7000184","120"
"121","7000185","121"
"122","7000186","122"
"123","7000187","123"
"124","7000190","124"
"125","7000191","125"
"126","7000192","126"
"127","7000193","127"
"128","7000194","128"
"129","7000195","129"
"130","7000197","130"
"131","7000198","131"
"132","7000199","132"
"133","7000200","133"
"134","7000201","134"
"135","7000202","135"
"136","7000203","136"
"137","7000204","137"
"138","7000206","138"
"139","7000207","139"
"140","7000208","140"
"141","7000209","141"
"142","7000210","142"
"143","7000211","143"
"144","7000212","144"
"145","7000214","145"
"146","7000215","146"
"147","7000216","147"
"148","7000217","148"
"149","7000218","149"
"150","7000219","150"
"151","7000220","151"
"152","7000221","152"
"153","7000222","153"
"154","7000223","154"
"155","7000224","155"
"156","7000225","156"
"157","7000226","157"
"158","7000227","158"
"159","7000228","159"
"160","7000229","160"
"161","7000230","161"
"162","7000232","162"
"163","7000233","163"
"164","7000234","164"
"165","7000235","165"
"166","7000237","166"
"167","7000239","167"
"168","7000240","168"
"169","7000241","169"
"170","7000242","170"
"171","7000243","171"
"172","7000244","172"
"173","7000245","173"
"174","7000246","174"
"175","7000247","175"
"176","7000248","176"
"177","7000249","177"
"178","7000250","178"
"179","7000251","179"
"180","7000252","180"
"181","7000253","181"
"182","7000255","182"
"183","7000256","183"
"184","7000257","184"
"185","7000258","185"
"186","7000259","186"
"187","7000260","187"
"188","7000261","188"
"189","7000263","189"
"190","7000265","190"
"191","7000267","191"
"192","7000268","192"
"193","7000269","193"
"194","7000272","194"
"195","7000273","195"
"196","7000274","196"
"197","7000275","197"
"198","7000276","198"
"199","7000277","199"
"200","7000278","200"
"201","7000279","201"
"202","7000280","202"
"203","7000283","203"
"204","7000284","204"
"205","7000285","205"
"206","7000286","206"
"207","7000289","207"
"208","7000290","208"
"209","7000291","209"
"210","7000292","210"
"211","7000293","211"
"212","7000294","212"
"213","7000300","213"
"214","7000301","214"
"215","7000302","215"
"216","7000303","216"
"217","7000304","217"
"218","7000306","218"
"219","7000309","219"
"220","7000311","220"
"221","7000312","221"
"222","7000315","222"
"223","7000317","223"
"224","7000319","224"
"225","7000322","225"
"226","7000323","226"
"227","7000324","227"
"228","7000325","228"
"229","7000326","229"
"230","7000327","230"
"231","7000328","231"
"232","7000329","232"
"233","7000330","233"
"234","7000331","234"
"235","7000332","235"
"236","7000333","236"
"237","7000334","237"
"238","7000335","238"
"239","7000336","239"
"240","7000337","240"
"241","7000338","241"
"242","7000340","242"
"243","7000341","243"
"244","7000342","244"
"245","7000343","245"
"246","7000344","246"
"247","7000345","247"
"248","7000347","248"
"249","7000349","249"
"250","7000350","250"
"251","7000351","251"
