id_institucion,nombre,cue,id_edificio,establecimiento_de_cabecera,nivel_educativo,categoria,ambito
"1","NOCTURNA JUAN E. SERU","700038000","1",,"UEPA","TERCERA",
"2","VILLICUM","700038100","1",,"PRIMARIO","PRIMERA",
"3","ANEXO ESC. TEC. CAP. LAB. SOFIA L. KLAPPENBACH","700070901","1",,"TEC. CAP. LABORAL","PRIMERA",
"4","ESCUELA TEC. CAP. LAB. ING. LUIS NOUSSAN","700078000","1",,"TEC. CAP. LABORAL","TERCERA",
"5","E.N.I. NÂº 17 XELU","700085100","1",,"INICIAL","PRIMERA",
"6","C.E.N.S. ING. LUIS A. NOUSSAN","700097700","1",,"CENS","TERCERA",
"7","C.E.N.S. 249  CESAR HERMOGENES GUERRERO","700005600","2",,"CENS","TERCERA",
"8","JUAN MANTOVANI","700037800","2",,"PRIMARIO","PRIMERA",
"9","E.N.I. NÂº 19 TANITANI","700085200","2",,"INICIAL","PRIMERA",
"10","VICECOMODORO GUSTAVO MARAMBIO","700037600","3",,"PRIMARIO","PRIMERA",
"11","PROPAA ZONA NORTE UNIDAD EDUCATIVA NÂ° 52","700066221","3",,"","",
"12","J.I.N.Z. NÂº 33 VICECOMODORO GUSTAVO MARAMBIO  ANEXO","700097302","3",,"INICIAL","SEGUNDA",
"13","ESCUELA SECUNDARIA VICE COMODORO GUSTAVO MARAMBIO","700110200","3",,"SECUNDARIO","TERCERA",
"14","JOSE MARIA PAZ","700037700","4",,"PRIMARIO","TERCERA",
"15","J.I.N.Z. NÂº 34 JOSE MARIA PAZ SEDE","700097400","4",,"INICIAL","PRIMERA",
"16","VICENTE LOPEZ Y PLANES","700032900","5",,"PRIMARIO","PRIMERA",
"17","E.N.I. NÂº 21 HUEPIL","700085500","5",,"INICIAL","PRIMERA",
"18","EJERCITO DE LOS ANDES","700038200","6",,"PRIMARIO","TERCERA",
"19","J.I.N.Z. NÂº 34 EJERCITO DE LOS ANDES  ANEXO","700097402","6",,"INICIAL","PRIMERA",
"20","ADAN QUIROGA","700005700","7",,"PRIMARIO","TERCERA",
"21","J.I.N.Z. NÂº 34 ADAN QUIROGA  ANEXO","700097404","7",,"INICIAL","PRIMERA",
"22","ESCUELA SECUNDARIA ADAN QUIROGA","700107400","7",,"SECUNDARIO","TERCERA",
"23","BENITA DAVILA DE DE LOS RIOS","700005800","8",,"PRIMARIO","TERCERA",
"24","J.I.N.Z. NÂº 33 BENITA DAVILA DE LOS RIOS  ANEXO","700097301","8",,"INICIAL","SEGUNDA",
"25","JUAN GREGORIO DE LAS HERAS","700038300","9",,"PRIMARIO","TERCERA",
"26","J.I.N.Z. NÂº 34 JUAN GREGORIO DE LAS HERAS  ANEXO","700097401","9",,"INICIAL","PRIMERA",
"27","ESCUELA E.E.E. HEBE NORA ARCE DE VIDELA DE ORO","700038400","10",,"EDUCACION ESPECIAL","PRIMERA",
"28","CAMILO ROJO","700033000","11",,"PRIMARIO","PRIMERA",
"29","E.N.I. NÂº 15 TULUM","700083800","11",,"INICIAL","PRIMERA",
"30","E.P.E.T. NÂ° 1 ALBARDON","700033100","12",,"TECNICO","PRIMERA",
"31","PROVINCIA DE JUJUY","700038500","13",,"PRIMARIO","TERCERA",
"32","J.I.N.Z. NÂº 33 PROVINCIA DE JUJUY  SEDE","700097300","13",,"INICIAL","PRIMERA",
"33","ISLA VICECOMODORO MARAMBIO - EMER","700014900","14",,"PRIMARIO Y SECUNDARIO","TERCERA",
"34","J.I.N.Z. NÂº 13 ESC ISLA VICECOMODORO MARAMBIO ANEXO","700102704","14",,"INICIAL","SEGUNDA",
"35","JUAN PASCUAL PRINGLES - EMER","700049000","15",,"PRIMARIO Y SECUNDARIO","TERCERA",
"36","J.I.N.Z. NÂº 13 ESC JUAN PASCUAL PRINGLES ANEXO","700102702","15",,"INICIAL","SEGUNDA",
"37","CAPITAN JUAN EUGENIO DE MALLEA - EMER","700049600","16",,"PRIMARIO","TERCERA",
