id_institucion,cue,nombre,establecimiento_cabecera,id_edificio,nivel_educativo,categoria,ambito
1,700038000,NOCTURNA JUAN E. SERU,VILLICUM,1,UEPA,TERCERA,PUBLICO
2,700038100,VILLICUM,VILLICUM,1,PRIMARIO,PRIMERA,PUBLICO
3,700070901,ANEXO ESC. TEC. CAP. LAB. SOFIA L. KLAPPENBACH,VILLICUM,1,TEC. CAP. LABORAL,PRIMERA,PUBLICO
4,700078000,ESCUELA TEC. CAP. LAB. ING. LUIS NOUSSAN,VILLICUM,1,TEC. CAP. LABORAL,TERCERA,PUBLICO
5,700085100,E.N.I. Nº 17 XELU,VILLICUM,1,INICIAL,PRIMERA,PUBLICO
6,700097700,C.E.N.S. ING. LUIS A. NOUSSAN,VILLICUM,1,CENS,TERCERA,PUBLICO
7,700005600,C.E.N.S. 249  CESAR HERMOGENES GUERRERO,JUAN MANTOVANI,2,CENS,TERCERA,PUBLICO
8,700037800,JUAN MANTOVANI,JUAN MANTOVANI,2,PRIMARIO,PRIMERA,PUBLICO
9,700085200,E.N.I. Nº 19 TANITANI,JUAN MANTOVANI,2,INICIAL,PRIMERA,PUBLICO
10,700037600,VICECOMODORO GUSTAVO MARAMBIO,VICECOMODORO GUSTAVO MARAMBIO,3,PRIMARIO,PRIMERA,PUBLICO
11,700066221,PROPAA ZONA NORTE UNIDAD EDUCATIVA N° 52,VICECOMODORO GUSTAVO MARAMBIO ,3,,,
12,700097302,J.I.N.Z. Nº 33 VICECOMODORO GUSTAVO MARAMBIO  ANEXO,VICECOMODORO GUSTAVO MARAMBIO,3,INICIAL,SEGUNDA,PUBLICO
13,700110200,ESCUELA SECUNDARIA VICE COMODORO GUSTAVO MARAMBIO,VICECOMODORO GUSTAVO MARAMBIO,3,SECUNDARIO,TERCERA,PUBLICO
14,700037700,JOSE MARIA PAZ,JOSE MARIA PAZ,4,PRIMARIO,TERCERA,PUBLICO
15,700097400,J.I.N.Z. Nº 34 JOSE MARIA PAZ SEDE,JOSE MARIA PAZ,4,INICIAL,PRIMERA,PUBLICO
16,700032900,VICENTE LOPEZ Y PLANES,VICENTE LOPEZ Y PLANES,5,PRIMARIO,PRIMERA,PUBLICO
17,700085500,E.N.I. Nº 21 HUEPIL,VICENTE LOPEZ Y PLANES,5,INICIAL,PRIMERA,PUBLICO
18,700038200,EJERCITO DE LOS ANDES,EJERCITO DE LOS ANDES,6,PRIMARIO,TERCERA,PUBLICO
19,700097402,J.I.N.Z. Nº 34 EJERCITO DE LOS ANDES  ANEXO,EJERCITO DE LOS ANDES,6,INICIAL,PRIMERA,PUBLICO
20,700005700,ADAN QUIROGA,ADAN QUIROGA,7,PRIMARIO,TERCERA,PUBLICO
21,700097404,J.I.N.Z. Nº 34 ADAN QUIROGA  ANEXO,ADAN QUIROGA,7,INICIAL,PRIMERA,PUBLICO
22,700107400,ESCUELA SECUNDARIA ADAN QUIROGA,ADAN QUIROGA,7,SECUNDARIO,TERCERA,PUBLICO
